k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
1,0.8002144598,0.7223352001,0.2290488030,0.6243338804
2,0.8002144598,0.7223352001,0.2290488030,0.6243338804
3,0.8002144598,0.7223352001,0.2290488030,0.6243338804
4,0.8002144598,0.7223352001,0.2290488030,0.8767559548
5,0.8002144598,0.7223352001,0.2290488030,0.8767559548
6,0.8002144598,0.7223352001,0.2900975765,0.8767559548
7,0.8002144598,0.7223352001,0.2900975765,0.8767559548
8,0.8002144598,0.7223352001,0.2900975765,0.8767559548
9,0.8002144598,0.7223352001,0.2900975765,0.8767559548
10,0.8002144598,0.7223352001,0.2900975765,0.8767559548
11,0.8002144598,0.7522181962,0.7324337602,0.8767559548
12,0.8002144598,0.7522181962,0.7324337602,0.8767559548
13,0.8002144598,0.7522181962,0.7324337602,0.8767559548
14,0.8002144598,0.7522181962,0.7324337602,0.8948679072
15,0.8002144598,0.7522181962,0.7324337602,0.8948679072
16,0.8002144598,0.8673260996,0.7324337602,0.8948679072
17,0.8002144598,0.8673260996,0.7324337602,0.9422319166
18,0.8002144598,0.8673260996,0.7324337602,0.9422319166
19,0.8002144598,0.8673260996,0.7324337602,0.9422319166
20,0.8002144598,0.8673260996,0.7324337602,0.9422319166
21,0.8002144598,0.8673260996,0.7324337602,0.9422319166
22,0.8002144598,0.8673260996,0.7324337602,0.9422319166
23,0.8002144598,0.8673260996,0.7324337602,0.9422319166
24,0.8002144598,0.8673260996,0.7324337602,0.9422319166
25,0.8002144598,0.8673260996,0.7324337602,0.9422319166
26,0.8002144598,0.8673260996,0.7324337602,0.9422319166
27,0.8002144598,0.8673260996,0.7324337602,0.9422319166
28,0.8002144598,0.8673260996,0.7324337602,0.9422319166
29,0.8002144598,0.8673260996,0.7324337602,0.9422319166
30,0.8002144598,0.8673260996,0.7324337602,0.9422319166
31,0.8002144598,0.8820518695,0.7324337602,0.9422319166
32,0.8002144598,0.8820518695,0.7324337602,0.9422319166
33,0.8002144598,0.8820518695,0.7324337602,0.9422319166
34,0.8002144598,0.8820518695,0.7324337602,0.9422319166
35,0.8002144598,0.8820518695,0.7324337602,0.9422319166
36,0.8002144598,0.9297577977,0.7535133600,0.9422319166
37,0.8002144598,0.9297577977,0.7535133600,0.9422319166
38,0.8002144598,0.9297577977,0.7535133600,0.9422319166
39,0.8002144598,0.9297577977,0.7535133600,0.9422319166
40,0.8002144598,0.9297577977,0.7535133600,0.9422319166
41,0.8002144598,0.9297577977,0.7535133600,0.9422319166
42,0.8002144598,0.9297577977,0.7535133600,0.9422319166
43,0.8002144598,0.9297577977,0.7535133600,0.9422319166
44,0.8002144598,0.9297577977,0.7535133600,0.9422319166
45,0.8002144598,0.9297577977,0.7535133600,0.9422319166
46,0.8002144598,0.9301101860,0.7535133600,0.9422319166
47,0.8002144598,0.9301101860,0.7535133600,0.9422319166
48,0.8002144598,0.9301101860,0.7535133600,0.9422319166
49,0.8002144598,0.9301101860,0.7535133600,0.9422319166
50,0.8002144598,0.9301101860,0.7535133600,0.9422319166
51,0.8002144598,0.9301101860,0.7535133600,0.9422319166
52,0.8002144598,0.9301101860,0.7535133600,0.9422319166
53,0.8002144598,0.9301101860,0.7535133600,0.9422319166
54,0.8002144598,0.9301101860,0.7535133600,0.9422319166
55,0.8002144598,0.9301101860,0.7535133600,0.9422319166
56,0.8002144598,0.9492548240,0.7535133600,0.9422319166
57,0.8002144598,0.9492548240,0.7535133600,0.9422319166
58,0.8002144598,0.9492548240,0.7535133600,0.9422319166
59,0.8002144598,0.9492548240,0.7535133600,0.9422319166
60,0.8002144598,0.9492548240,0.7535133600,0.9422319166
61,0.8002144598,0.9492548240,0.7535133600,0.9422319166
62,0.8002144598,0.9492548240,0.7535133600,0.9422319166
63,0.8002144598,0.9492548240,0.7535133600,0.9422319166
64,0.8002144598,0.9492548240,0.7535133600,0.9422319166
65,0.8002144598,0.9492548240,0.7535133600,0.9422319166
66,0.8002144598,0.9492548240,0.7535133600,0.9422319166
67,0.8002144598,0.9492548240,0.7535133600,0.9422319166
68,0.8002144598,0.9492548240,0.7535133600,0.9422319166
69,0.8002144598,0.9492548240,0.7535133600,0.9422319166
70,0.8002144598,0.9492548240,0.7535133600,0.9422319166
71,0.8002144598,0.9492548240,0.7535133600,0.9422319166
72,0.8002144598,0.9492548240,0.7535133600,0.9422319166
73,0.8002144598,0.9492548240,0.7535133600,0.9422319166
74,0.8002144598,0.9492548240,0.7535133600,0.9422319166
75,0.8002144598,0.9492548240,0.7535133600,0.9422319166
76,0.8002144598,0.9492548240,0.7535133600,0.9422319166
77,0.8002144598,0.9492548240,0.7535133600,0.9422319166
78,0.8002144598,0.9492548240,0.7535133600,0.9422319166
79,0.8002144598,0.9492548240,0.7535133600,0.9422319166
80,0.8002144598,0.9492548240,0.7535133600,0.9422319166
81,0.8002144598,0.9573360656,0.7535133600,0.9422319166
82,0.8002144598,0.9573360656,0.7535133600,0.9422319166
83,0.8002144598,0.9573360656,0.7535133600,0.9422319166
84,0.8002144598,0.9573360656,0.7535133600,0.9422319166
85,0.8002144598,0.9573360656,0.7535133600,0.9422319166
86,0.8002144598,0.9573360656,0.7535133600,0.9422319166
87,0.8002144598,0.9573360656,0.7535133600,0.9422319166
88,0.8002144598,0.9573360656,0.7535133600,0.9422319166
89,0.8002144598,0.9573360656,0.7535133600,0.9422319166
90,0.8002144598,0.9573360656,0.7535133600,0.9422319166
91,0.8002144598,0.9713067588,0.7535133600,0.9422319166
92,0.8002144598,0.9713067588,0.7535133600,0.9422319166
93,0.8002144598,0.9713067588,0.7535133600,0.9422319166
94,0.8002144598,0.9713067588,0.7535133600,0.9422319166
95,0.8002144598,0.9713067588,0.7535133600,0.9422319166
96,0.8002144598,0.9713067588,0.7535133600,0.9422319166
97,0.8002144598,0.9713067588,0.7535133600,0.9422319166
98,0.8002144598,0.9713067588,0.7535133600,0.9422319166
99,0.8002144598,0.9713067588,0.7535133600,0.9422319166
100,0.8002144598,0.9713067588,0.7535133600,0.9422319166
101,0.8002144598,0.9713067588,0.7535133600,0.9422319166
102,0.8002144598,0.9713067588,0.7535133600,0.9422319166
103,0.8002144598,0.9713067588,0.7535133600,0.9422319166
104,0.8002144598,0.9713067588,0.7535133600,0.9422319166
105,0.8002144598,0.9713067588,0.7535133600,0.9422319166
106,0.8002144598,0.9713067588,0.7535133600,0.9422319166
107,0.8002144598,0.9713067588,0.7535133600,0.9422319166
108,0.8002144598,0.9713067588,0.7535133600,0.9422319166
109,0.8002144598,0.9713067588,0.7535133600,0.9422319166
110,0.8002144598,0.9713067588,0.7535133600,0.9422319166
111,0.8002144598,0.9713067588,0.7535133600,0.9422319166
112,0.8002144598,0.9713067588,0.7535133600,0.9422319166
113,0.8002144598,0.9713067588,0.7535133600,0.9422319166
114,0.8002144598,0.9713067588,0.7535133600,0.9422319166
115,0.8002144598,0.9713067588,0.7535133600,0.9422319166
116,0.8002144598,0.9713067588,0.7535133600,0.9422319166
117,0.8002144598,0.9713067588,0.7535133600,0.9422319166
118,0.8002144598,0.9713067588,0.7535133600,0.9422319166
119,0.8002144598,0.9713067588,0.7535133600,0.9422319166
120,0.8002144598,0.9713067588,0.7535133600,0.9422319166
121,0.8002144598,0.9713067588,0.7535133600,0.9422319166
122,0.8002144598,0.9713067588,0.7535133600,0.9422319166
123,0.8002144598,0.9713067588,0.7535133600,0.9422319166
124,0.8002144598,0.9713067588,0.7535133600,0.9422319166
125,0.8002144598,0.9713067588,0.7535133600,0.9422319166
126,0.8002144598,0.9713067588,0.7535133600,0.9422319166
127,0.8002144598,0.9713067588,0.7535133600,0.9422319166
128,0.8002144598,0.9713067588,0.7535133600,0.9422319166
129,0.8002144598,0.9713067588,0.7535133600,0.9422319166
130,0.8002144598,0.9713067588,0.7535133600,0.9422319166
131,0.8002144598,0.9713067588,0.7535133600,0.9422319166
132,0.8002144598,0.9713067588,0.7535133600,0.9422319166
133,0.8002144598,0.9713067588,0.7535133600,0.9422319166
134,0.8002144598,0.9713067588,0.7535133600,0.9422319166
135,0.8002144598,0.9713067588,0.7535133600,0.9422319166
136,0.8002144598,0.9713067588,0.7535133600,0.9422319166
137,0.8002144598,0.9713067588,0.7535133600,0.9422319166
138,0.8002144598,0.9713067588,0.7535133600,0.9422319166
139,0.8002144598,0.9713067588,0.7535133600,0.9422319166
140,0.8002144598,0.9713067588,0.7535133600,0.9422319166
141,0.8002144598,0.9713067588,0.7535133600,0.9422319166
142,0.8002144598,0.9713067588,0.7535133600,0.9422319166
143,0.8002144598,0.9713067588,0.7535133600,0.9422319166
144,0.8002144598,0.9713067588,0.7535133600,0.9422319166
145,0.8002144598,0.9713067588,0.7535133600,0.9422319166
146,0.8002144598,0.9713067588,0.7535133600,0.9422319166
147,0.8002144598,0.9713067588,0.7535133600,0.9422319166
148,0.8002144598,0.9713067588,0.7535133600,0.9422319166
149,0.8002144598,0.9713067588,0.7535133600,0.9422319166
150,0.8002144598,0.9713067588,0.7535133600,0.9422319166
151,0.8002144598,0.9713067588,0.7535133600,0.9422319166
152,0.8002144598,0.9713067588,0.7535133600,0.9422319166
153,0.8002144598,0.9713067588,0.7535133600,0.9422319166
154,0.8002144598,0.9713067588,0.7535133600,0.9422319166
155,0.8002144598,0.9713067588,0.7535133600,0.9422319166
156,0.8002144598,0.9713067588,0.7535133600,0.9422319166
157,0.8002144598,0.9713067588,0.7535133600,0.9422319166
158,0.8002144598,0.9713067588,0.7535133600,0.9422319166
159,0.8002144598,0.9713067588,0.7535133600,0.9422319166
160,0.8002144598,0.9713067588,0.7535133600,0.9422319166
161,0.8002144598,0.9713067588,0.7535133600,0.9422319166
162,0.8002144598,0.9713067588,0.7535133600,0.9422319166
163,0.8002144598,0.9713067588,0.7535133600,0.9422319166
164,0.8002144598,0.9713067588,0.7535133600,0.9422319166
165,0.8002144598,0.9713067588,0.7535133600,0.9422319166
166,0.8002144598,0.9713067588,0.7535133600,0.9422319166
167,0.8002144598,0.9713067588,0.7535133600,0.9422319166
168,0.8002144598,0.9713067588,0.7535133600,0.9422319166
169,0.8002144598,0.9713067588,0.7535133600,0.9422319166
170,0.8002144598,0.9713067588,0.7535133600,0.9422319166
171,0.8002144598,0.9713067588,0.7535133600,0.9422319166
172,0.8002144598,0.9713067588,0.7535133600,0.9422319166
173,0.8002144598,0.9713067588,0.7535133600,0.9422319166
174,0.8002144598,0.9713067588,0.7535133600,0.9422319166
175,0.8002144598,0.9713067588,0.7535133600,0.9422319166
176,0.8002144598,0.9713851187,0.7535133600,0.9422319166
177,0.8002144598,0.9713851187,0.7535133600,0.9422319166
178,0.8002144598,0.9713851187,0.7535133600,0.9422319166
179,0.8002144598,0.9713851187,0.7535133600,0.9422319166
180,0.8002144598,0.9713851187,0.7535133600,0.9422319166
