k,1agent,4agent_coevol,4agent_no_sharing
1,11910.0000000000,11910.0000000000,11910.0000000000
2,11910.0000000000,11910.0000000000,11910.0000000000
3,11910.0000000000,11910.0000000000,11910.0000000000
4,11910.0000000000,11910.0000000000,11910.0000000000
5,11910.0000000000,11910.0000000000,11910.0000000000
6,11910.0000000000,11910.0000000000,11910.0000000000
7,11910.0000000000,11910.0000000000,11910.0000000000
8,11910.0000000000,11910.0000000000,11910.0000000000
9,11910.0000000000,11910.0000000000,11910.0000000000
10,11910.0000000000,11910.0000000000,11910.0000000000
11,11910.0000000000,11910.0000000000,11910.0000000000
12,11910.0000000000,11910.0000000000,11910.0000000000
13,11910.0000000000,11910.0000000000,11910.0000000000
14,11910.0000000000,11910.0000000000,11910.0000000000
15,11910.0000000000,11910.0000000000,11910.0000000000
16,11910.0000000000,11910.0000000000,11910.0000000000
17,11910.0000000000,11910.0000000000,11910.0000000000
18,11910.0000000000,11910.0000000000,11910.0000000000
19,11910.0000000000,11910.0000000000,11910.0000000000
20,11910.0000000000,11910.0000000000,11910.0000000000
21,11910.0000000000,11910.0000000000,11910.0000000000
22,11910.0000000000,11910.0000000000,11910.0000000000
23,11910.0000000000,11910.0000000000,11910.0000000000
24,11910.0000000000,11910.0000000000,11910.0000000000
25,11910.0000000000,11910.0000000000,11910.0000000000
26,11910.0000000000,11910.0000000000,11910.0000000000
27,11910.0000000000,11910.0000000000,11910.0000000000
28,11910.0000000000,11910.0000000000,11910.0000000000
29,11910.0000000000,11910.0000000000,11910.0000000000
30,11910.0000000000,11910.0000000000,11910.0000000000
31,11910.0000000000,11910.0000000000,11910.0000000000
32,11910.0000000000,11910.0000000000,11910.0000000000
33,11910.0000000000,11910.0000000000,11910.0000000000
34,11910.0000000000,11910.0000000000,11910.0000000000
35,11910.0000000000,11910.0000000000,11910.0000000000
36,11910.0000000000,11910.0000000000,11910.0000000000
37,11910.0000000000,11910.0000000000,11910.0000000000
38,11910.0000000000,11910.0000000000,11910.0000000000
39,11910.0000000000,11910.0000000000,11910.0000000000
40,11910.0000000000,11910.0000000000,11910.0000000000
41,11910.0000000000,11910.0000000000,11910.0000000000
42,11910.0000000000,11910.0000000000,11910.0000000000
43,11910.0000000000,11910.0000000000,11910.0000000000
44,11910.0000000000,11910.0000000000,11910.0000000000
45,11910.0000000000,11910.0000000000,11910.0000000000
46,11910.0000000000,11910.0000000000,11910.0000000000
47,11910.0000000000,11910.0000000000,11910.0000000000
48,11910.0000000000,11910.0000000000,11910.0000000000
49,11910.0000000000,11910.0000000000,11910.0000000000
50,11910.0000000000,11910.0000000000,11910.0000000000
51,11910.0000000000,11910.0000000000,11910.0000000000
52,11910.0000000000,11910.0000000000,11910.0000000000
53,11910.0000000000,11910.0000000000,11910.0000000000
54,11910.0000000000,11910.0000000000,11910.0000000000
55,11910.0000000000,11910.0000000000,11910.0000000000
56,11910.0000000000,11910.0000000000,11910.0000000000
57,11910.0000000000,11910.0000000000,11910.0000000000
58,11910.0000000000,11910.0000000000,11910.0000000000
59,11910.0000000000,11910.0000000000,11910.0000000000
60,11910.0000000000,11910.0000000000,11910.0000000000
61,11910.0000000000,11910.0000000000,11910.0000000000
62,11910.0000000000,11910.0000000000,11910.0000000000
63,11910.0000000000,11910.0000000000,11910.0000000000
64,11910.0000000000,11910.0000000000,11910.0000000000
65,11910.0000000000,11910.0000000000,11910.0000000000
66,11910.0000000000,11910.0000000000,11910.0000000000
67,11910.0000000000,11910.0000000000,11910.0000000000
68,11910.0000000000,11910.0000000000,11910.0000000000
69,11910.0000000000,11910.0000000000,11910.0000000000
70,11910.0000000000,11910.0000000000,11910.0000000000
71,11910.0000000000,11910.0000000000,11910.0000000000
72,11910.0000000000,11910.0000000000,11910.0000000000
73,11910.0000000000,11910.0000000000,11910.0000000000
74,11910.0000000000,11910.0000000000,11910.0000000000
75,11910.0000000000,11910.0000000000,11910.0000000000
76,11910.0000000000,11910.0000000000,11910.0000000000
77,11910.0000000000,11910.0000000000,11910.0000000000
78,11910.0000000000,11910.0000000000,11910.0000000000
79,11910.0000000000,11910.0000000000,11910.0000000000
80,11910.0000000000,11910.0000000000,11910.0000000000
81,11910.0000000000,11910.0000000000,11910.0000000000
82,11910.0000000000,11910.0000000000,11910.0000000000
83,11910.0000000000,11910.0000000000,11910.0000000000
84,11910.0000000000,11910.0000000000,11910.0000000000
85,11910.0000000000,11910.0000000000,11910.0000000000
86,11910.0000000000,11910.0000000000,11910.0000000000
87,11910.0000000000,11910.0000000000,11910.0000000000
88,11910.0000000000,11910.0000000000,11910.0000000000
89,11910.0000000000,11910.0000000000,11910.0000000000
90,11910.0000000000,11910.0000000000,11910.0000000000
91,11910.0000000000,11910.0000000000,11910.0000000000
92,11910.0000000000,11910.0000000000,11910.0000000000
93,11910.0000000000,11910.0000000000,11910.0000000000
94,11910.0000000000,11910.0000000000,11910.0000000000
95,11910.0000000000,11910.0000000000,11910.0000000000
96,11910.0000000000,11910.0000000000,11910.0000000000
97,11910.0000000000,11910.0000000000,11910.0000000000
98,11910.0000000000,11910.0000000000,11910.0000000000
99,11910.0000000000,11910.0000000000,11910.0000000000
100,11910.0000000000,11910.0000000000,11910.0000000000
